id;name;description;price;product_size;image;image_content_type;product_category_id
1;hmph um humble;following in-joke rationale;16727.61;S;../fake-data/blob/hipster.png;image/png;1
2;outrun decent;until;6103.87;S;../fake-data/blob/hipster.png;image/png;2
3;utter;nor unzip now;23234.79;M;../fake-data/blob/hipster.png;image/png;3
4;essence nervous;which tag;13583.53;S;../fake-data/blob/hipster.png;image/png;4
5;hole badly;while during save;24854.97;XL;../fake-data/blob/hipster.png;image/png;5
6;oil calculus;huzzah oh;11298.52;XL;../fake-data/blob/hipster.png;image/png;6
7;amongst inasmuch;onset equatorial voluminous;10579.85;XXL;../fake-data/blob/hipster.png;image/png;7
8;fun;procrastinate;17334.13;L;../fake-data/blob/hipster.png;image/png;8
9;alongside down hmph;jam-packed celebrate;5686.61;L;../fake-data/blob/hipster.png;image/png;9
10;nor arraign following;until statue atop;19929.97;XXL;../fake-data/blob/hipster.png;image/png;10
