id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2025-08-24T00:15:28;PENDING;3585.75;IDEAL;smart;1
2;2025-08-23T08:31:37;CANCELLED;6312.57;IDEAL;er;2
3;2025-08-23T18:19:32;PAID;9973.3;CREDIT_CARD;forenenst pro except;1
4;2025-08-23T12:53:27;PENDING;31904.44;IDEAL;whether dowse phooey;1
5;2025-08-23T22:14:39;PAID;28499.51;CREDIT_CARD;pfft vice;2
6;2025-08-23T23:59:45;PENDING;2951.21;IDEAL;consequently;2
7;2025-08-23T07:02:54;COMPLETED;20497.45;CREDIT_CARD;crackle freckle;1
8;2025-08-23T23:57:17;PAID;4175.97;CREDIT_CARD;swiftly chubby;2
9;2025-08-23T20:21:45;CANCELLED;24643.73;IDEAL;immediate er across;2
10;2025-08-23T05:02:37;PAID;17155.16;IDEAL;quantify zowie ah;1
